No.,Time,Source,Destination,Protocol,Length,Info,label
1,0.0,2620:1ec:50::12,2401:4900:1a54:1802:6144:3bc9:3fe2:2fa1,TLSv1.2,113,Application Data,0
2,0.009874,2401:4900:1a54:1802:6144:3bc9:3fe2:2fa1,2620:1ec:50::12,TLSv1.2,109,Application Data,0
3,0.010204,2401:4900:1a54:1802:6144:3bc9:3fe2:2fa1,2620:1ec:50::12,TLSv1.2,109,Application Data,0
4,0.05685,2401:4900:1a54:1802:6144:3bc9:3fe2:2fa1,2404:6800:4003:c03::bc,TCP,75,61743  >  5228 [ACK] Seq=1 Ack=1 Win=256 Len=1,0
5,0.204813,2620:1ec:50::12,2401:4900:1a54:1802:6144:3bc9:3fe2:2fa1,TCP,74,443  >  61742 [ACK] Seq=40 Ack=71 Win=16386 Len=0,0
6,0.204813,2404:6800:4003:c03::bc,2401:4900:1a54:1802:6144:3bc9:3fe2:2fa1,TCP,86,5228  >  61743 [ACK] Seq=1 Ack=2 Win=1045 Len=0 SLE=1 SRE=2,0
7,8.601737,fe80::745a:18ff:fe00:395c,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,1
8,8.602882,192.168.43.1,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.251 for any sources,1
9,8.805984,192.168.43.1,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.251 for any sources,1
10,9.013957,fe80::745a:18ff:fe00:395c,ff02::fb,MDNS,177,"Standard query 0x0000 ANY Android.local, ""QU"" question ANY Android.local, ""QU"" question ANY Android.local, ""QU"" question A 192.168.43.1 AAAA fe80::745a:18ff:fe00:395c AAAA 2401:4900:1a54:1802::fb",1
11,9.216196,fe80::745a:18ff:fe00:395c,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,1
12,9.218139,192.168.43.1,224.0.0.251,MDNS,157,"Standard query 0x0000 ANY Android.local, ""QM"" question ANY Android.local, ""QM"" question ANY Android.local, ""QM"" question A 192.168.43.1 AAAA fe80::745a:18ff:fe00:395c AAAA 2401:4900:1a54:1802::fb",1
13,9.219597,fe80::745a:18ff:fe00:395c,ff02::fb,MDNS,177,"Standard query 0x0000 ANY Android.local, ""QM"" question ANY Android.local, ""QM"" question ANY Android.local, ""QM"" question A 192.168.43.1 AAAA fe80::745a:18ff:fe00:395c AAAA 2401:4900:1a54:1802::fb",1
14,9.421532,192.168.43.1,224.0.0.251,MDNS,157,"Standard query 0x0000 ANY Android.local, ""QM"" question ANY Android.local, ""QM"" question ANY Android.local, ""QM"" question A 192.168.43.1 AAAA fe80::745a:18ff:fe00:395c AAAA 2401:4900:1a54:1802::fb",1
15,9.423356,fe80::745a:18ff:fe00:395c,ff02::fb,MDNS,177,"Standard query 0x0000 ANY Android.local, ""QM"" question ANY Android.local, ""QM"" question ANY Android.local, ""QM"" question A 192.168.43.1 AAAA fe80::745a:18ff:fe00:395c AAAA 2401:4900:1a54:1802::fb",1
16,9.47907,2401:4900:1a54:1802:6144:3bc9:3fe2:2fa1,2620:1ec:50::12,TCP,1454,61742  >  443 [ACK] Seq=71 Ack=40 Win=254 Len=1380 [TCP PDU reassembled in 20],0
17,9.47907,2401:4900:1a54:1802:6144:3bc9:3fe2:2fa1,2620:1ec:50::12,TCP,1454,61742  >  443 [ACK] Seq=1451 Ack=40 Win=254 Len=1380 [TCP PDU reassembled in 20],0
18,9.47907,2401:4900:1a54:1802:6144:3bc9:3fe2:2fa1,2620:1ec:50::12,TCP,1454,61742  >  443 [ACK] Seq=2831 Ack=40 Win=254 Len=1380 [TCP PDU reassembled in 20],0
19,9.47907,2401:4900:1a54:1802:6144:3bc9:3fe2:2fa1,2620:1ec:50::12,TCP,1454,61742  >  443 [ACK] Seq=4211 Ack=40 Win=254 Len=1380 [TCP PDU reassembled in 20],0
20,9.47907,2401:4900:1a54:1802:6144:3bc9:3fe2:2fa1,2620:1ec:50::12,TLSv1.2,1304,Application Data,0
21,9.479638,2401:4900:1a54:1802:6144:3bc9:3fe2:2fa1,2620:1ec:50::12,TLSv1.2,436,Application Data,0
22,9.625588,2620:1ec:50::12,2401:4900:1a54:1802:6144:3bc9:3fe2:2fa1,TCP,74,443  >  61742 [ACK] Seq=40 Ack=1451 Win=16387 Len=0,0
23,9.625588,2620:1ec:50::12,2401:4900:1a54:1802:6144:3bc9:3fe2:2fa1,TCP,74,443  >  61742 [ACK] Seq=40 Ack=2831 Win=16387 Len=0,0
24,9.625588,2620:1ec:50::12,2401:4900:1a54:1802:6144:3bc9:3fe2:2fa1,TCP,74,443  >  61742 [ACK] Seq=40 Ack=5591 Win=16387 Len=0,0
25,9.625588,2620:1ec:50::12,2401:4900:1a54:1802:6144:3bc9:3fe2:2fa1,TCP,74,443  >  61742 [ACK] Seq=40 Ack=6821 Win=16382 Len=0,0
